"Time	Open	High	Low	Close	Volume",,,,,,,Label
"2021-04-28 16:00:00	1.39152	1.39503	1.38894	1.39455	18255	7",,,,,,,0
"2021-04-28 20:00:00	1.39454	1.39564	1.39306	1.39539	4453	7",,,,,,,0
"2021-04-29 00:00:00	1.39542	1.39764	1.39393	1.3944	6266	8",,,,,,,0
"2021-04-29 04:00:00	1.39442	1.39696	1.3942	1.39624	13054	7",,,,,,,0
"2021-04-29 08:00:00	1.39624	1.39672	1.39317	1.39484	16614	6",,,,,,,0
"2021-04-29 12:00:00	1.39484	1.3966	1.39374	1.39542	27255	7",,,,,,,0
"2021-04-29 16:00:00	1.39541	1.39544	1.39343	1.395	12185	7",,,,,,,0
"2021-04-29 20:00:00	1.39499	1.39522	1.39323	1.395	5596	7",,,,,,,0
"2021-04-30 00:00:00	1.39501	1.39581	1.39418	1.39461	4267	6",,,,,,,0
"2021-04-30 04:00:00	1.39459	1.39506	1.39085	1.39143	9525	8",,,,,,,0
"2021-04-30 08:00:00	1.39147	1.39233	1.39008	1.39062	16549	7",,,,,,,0
"2021-04-30 12:00:00	1.39061	1.39129	1.38069	1.38361	32185	7",,,,,,,0
"2021-04-30 16:00:00	1.38363	1.38417	1.38023	1.38108	14104	6",,,,,,,0
"2021-04-30 20:00:00	1.38109	1.38213	1.38076	1.38077	2687	7",,,,,,,0
"2021-05-03 00:00:00	1.38192	1.38355	1.38115	1.38249	4210	7",,,,,,,0
"2021-05-03 04:00:00	1.38249	1.38461	1.38008	1.3841	10447	10",,,,,,,0
"2021-05-03 08:00:00	1.38415	1.3878	1.38358	1.38706	16080	6",,,,,,,0
"2021-05-03 12:00:00	1.38705	1.39315	1.38663	1.39114	21159	7",,,,,,,0
"2021-05-03 16:00:00	1.39112	1.39146	1.39045	1.39067	10179	7",,,,,,,0
"2021-05-03 20:00:00	1.39069	1.39133	1.38988	1.39028	4501	7",,,,,,,0
"2021-05-04 00:00:00	1.39028	1.3905	1.38755	1.38781	4953	8",,,,,,,0
"2021-05-04 04:00:00	1.38783	1.38922	1.38509	1.3867	11169	9",,,,,,,0
"2021-05-04 08:00:00	1.38672	1.38909	1.38554	1.3863	22287	7",,,,,,,0
"2021-05-04 12:00:00	1.3863	1.38913	1.38382	1.38715	37575	8",,,,,,,0
"2021-05-04 16:00:00	1.38713	1.38972	1.38691	1.38892	17498	8",,,,,,,0
"2021-05-04 20:00:00	1.38891	1.38942	1.38833	1.38869	3516	7",,,,,,,0
"2021-05-05 00:00:00	1.38869	1.39143	1.38869	1.39109	3913	7",,,,,,,0
"2021-05-05 04:00:00	1.39109	1.39139	1.38855	1.38964	10693	7",,,,,,,0
"2021-05-05 08:00:00	1.38962	1.3926	1.38759	1.39059	13052	7",,,,,,,0
"2021-05-05 12:00:00	1.3906	1.3924	1.38902	1.39121	20356	7",,,,,,,0
"2021-05-05 16:00:00	1.39121	1.3914	1.38963	1.39094	10801	7",,,,,,,0
"2021-05-05 20:00:00	1.39094	1.39104	1.38956	1.39083	3956	7",,,,,,,0
"2021-05-06 00:00:00	1.39082	1.39132	1.38851	1.38951	6828	7",,,,,,,0
"2021-05-06 04:00:00	1.38949	1.39133	1.38931	1.3903	10870	8",,,,,,,0
"2021-05-06 08:00:00	1.39032	1.39405	1.38569	1.39161	24362	7",,,,,,,0
"2021-05-06 12:00:00	1.39162	1.39278	1.38624	1.38789	28935	7",,,,,,,0
"2021-05-06 16:00:00	1.38789	1.38992	1.38776	1.38992	10878	6",,,,,,,0
"2021-05-06 20:00:00	1.38991	1.38991	1.38851	1.38953	6050	7",,,,,,,0
"2021-05-07 00:00:00	1.38953	1.39115	1.38896	1.39092	5316	7",,,,,,,0
"2021-05-07 04:00:00	1.39091	1.39287	1.38945	1.39223	10160	6",,,,,,,0
"2021-05-07 08:00:00	1.39222	1.39283	1.38949	1.39003	13224	7",,,,,,,0
"2021-05-07 12:00:00	1.39003	1.40002	1.38908	1.39996	47520	7",,,,,,,0
"2021-05-07 16:00:00	1.39998	1.40056	1.39713	1.40021	15112	6",,,,,,,1
"2021-05-07 20:00:00	1.4002	1.40053	1.3981	1.39811	2871	8",,,,,,,1
"2021-05-10 00:00:00	1.404	1.40404	1.4017	1.40201	6609	8",,,,,,,1
"2021-05-10 04:00:00	1.40201	1.40792	1.40148	1.4076	16081	9",,,,,,,1
"2021-05-10 08:00:00	1.4076	1.41193	1.40632	1.41102	18444	6",,,,,,,1
"2021-05-10 12:00:00	1.41107	1.41582	1.41068	1.4151	27163	7",,,,,,,1
"2021-05-10 16:00:00	1.41512	1.4155	1.41279	1.4132	13201	7",,,,,,,1
"2021-05-10 20:00:00	1.41322	1.41347	1.4115	1.41306	5133	7",,,,,,,1
"2021-05-11 00:00:00	1.41307	1.41343	1.41124	1.41202	7529	7",,,,,,,1
"2021-05-11 04:00:00	1.41203	1.41367	1.41065	1.41241	12761	7",,,,,,,1
"2021-05-11 08:00:00	1.41241	1.41511	1.41036	1.41453	16314	7",,,,,,,1
"2021-05-11 12:00:00	1.41452	1.41578	1.41161	1.41478	30034	6",,,,,,,1
"2021-05-11 16:00:00	1.41479	1.41665	1.41405	1.41424	14236	6",,,,,,,1
"2021-05-11 20:00:00	1.41424	1.41463	1.41333	1.41352	8641	7",,,,,,,1
"2021-05-12 00:00:00	1.41351	1.4142	1.41072	1.41084	6209	8",,,,,,,1
"2021-05-12 04:00:00	1.41084	1.41491	1.41073	1.41353	11077	6",,,,,,,1
"2021-05-12 08:00:00	1.41352	1.41462	1.41247	1.41302	14030	6",,,,,,,1
"2021-05-12 12:00:00	1.41302	1.41527	1.408	1.40806	52869	6",,,,,,,1
"2021-05-12 16:00:00	1.40806	1.40828	1.40509	1.40587	21161	6",,,,,,,1
"2021-05-12 20:00:00	1.40586	1.40699	1.40499	1.40619	4590	7",,,,,,,1
"2021-05-13 00:00:00	1.4062	1.40778	1.40503	1.4061	7690	8",,,,,,,1
"2021-05-13 04:00:00	1.40609	1.40711	1.4035	1.40503	16554	8",,,,,,,1
"2021-05-13 08:00:00	1.40503	1.40649	1.40053	1.40277	23741	6",,,,,,,1
"2021-05-13 12:00:00	1.40279	1.40623	1.40234	1.4031	32272	7",,,,,,,1
"2021-05-13 16:00:00	1.4031	1.40551	1.40156	1.40541	16875	7",,,,,,,1
"2021-05-13 20:00:00	1.40542	1.40551	1.40443	1.40457	3744	7",,,,,,,1
"2021-05-14 00:00:00	1.40457	1.40517	1.40359	1.40452	6069	8",,,,,,,1
"2021-05-14 04:00:00	1.40452	1.40763	1.40385	1.40631	11499	8",,,,,,,1
"2021-05-14 08:00:00	1.40631	1.40857	1.40538	1.4077	16709	7",,,,,,,1
"2021-05-14 12:00:00	1.40771	1.41108	1.4073	1.40946	24147	6",,,,,,,1
"2021-05-14 16:00:00	1.40945	1.41037	1.40855	1.40958	7816	7",,,,,,,1
"2021-05-14 20:00:00	1.40959	1.41001	1.40914	1.40945	2690	8",,,,,,,1
"2021-05-17 00:00:00	1.41004	1.41007	1.40777	1.40856	5429	9",,,,,,,1
"2021-05-17 04:00:00	1.40856	1.41191	1.40799	1.40946	12577	7",,,,,,,1
"2021-05-17 08:00:00	1.40946	1.41159	1.40865	1.40917	18070	6",,,,,,,1
